notes,total_cost,total_amount,sale_date,sale_type,customer_name,customer_id,items,profit,payment_method,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"","21","34.9","2026-04-29T13:33:07.440Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":34.9,""product_name"":""Sabonete natura "",""subtotal"":34.9,""product_id"":""6973a44a514b5c5f0e04d1b9"",""cost_price"":21}]","13.899999999999999","cartao","concluida","69f208933523be261ac56697","2026-04-29T13:33:07.629000","2026-04-29T13:33:07.629000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","10","19.9","2026-04-29T13:32:37.334Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":19.9,""product_name"":""Mini difusor "",""subtotal"":19.9,""product_id"":""69dd3829c8ac6a7a670068f8"",""cost_price"":10}]","9.899999999999999","cartao","concluida","69f20875e915dc04551394a8","2026-04-29T13:32:37.660000","2026-04-29T13:32:37.660000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","9","15","2026-04-29T13:32:27.774Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":15,""product_name"":""Sabonete massageador "",""subtotal"":15,""product_id"":""69809882cd75c350ba729562"",""cost_price"":9}]","6","cartao","concluida","69f2086cf8148d2ee8826d7c","2026-04-29T13:32:28.010000","2026-04-29T13:32:28.010000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","20","35","2026-04-29T13:32:07.116Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":35,""product_name"":""Refil "",""subtotal"":35,""product_id"":""69dd33c1d68ce2c75f39c05a"",""cost_price"":20}]","15","cartao","concluida","69f20857180315e93edd8ee7","2026-04-29T13:32:07.338000","2026-04-29T13:32:07.338000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","5","9.9","2026-04-29T13:31:56.357Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":9.9,""product_name"":""Chaveiro mãe "",""subtotal"":9.9,""product_id"":""69dd3786f438263a1862e480"",""cost_price"":5}]","4.9","cartao","concluida","69f2084c9b295a34f5f2e9f5","2026-04-29T13:31:56.695000","2026-04-29T13:31:56.695000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","9","15","2026-04-29T13:31:19.532Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":15,""product_name"":""Sabonete massageador "",""subtotal"":15,""product_id"":""69809882cd75c350ba729562"",""cost_price"":9}]","6","cartao","concluida","69f208276d86fe1dc0409ee2","2026-04-29T13:31:19.755000","2026-04-29T13:31:19.755000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","44.24","58.99","2026-04-13T18:49:04.738Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":58.99,""product_name"":""Rosa absoluta "",""subtotal"":58.99,""product_id"":""69d69fb7b285f9aac24b8391"",""cost_price"":44.24}]","14.75","pix","concluida","69dd3aa1caa4918ae4deeab7","2026-04-13T18:49:05.018000","2026-04-13T18:49:05.018000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","19.6","40","2026-04-13T18:24:04.403Z","pronta_entrega","","","[{""quantity"":10,""unit_price"":4,""product_name"":""Mini sabonete "",""subtotal"":40,""product_id"":""69809aa1583fc1dc59593161"",""cost_price"":1.96}]","20.4","cartao","concluida","69dd34c484cd579d6f479ade","2026-04-13T18:24:04.678000","2026-04-13T18:24:04.678000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","9","15","2026-04-08T20:21:01.954Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":15,""product_name"":""Sabonete massageador "",""subtotal"":15,""product_id"":""69809882cd75c350ba729562"",""cost_price"":9}]","6","cartao","concluida","69d6b8ae9fb1426828453f05","2026-04-08T20:21:02.225000","2026-04-08T20:21:02.225000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","32","55","2026-04-08T20:20:12.446Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":55,""product_name"":""Difusor "",""subtotal"":55,""product_id"":""69a9c3f7be5e984f5c5940c5"",""cost_price"":32}]","23","cartao","concluida","69d6b87ca09d41cff4d938fc","2026-04-08T20:20:12.629000","2026-04-08T20:20:12.629000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","71.5","132","2026-04-08T20:19:43.748Z","pronta_entrega","","","[{""quantity"":11,""unit_price"":12,""product_name"":""Ovos de sabonete artesanal "",""subtotal"":132,""product_id"":""69bd7c9e364c31cacd468a3a"",""cost_price"":6.5}]","60.5","cartao","concluida","69d6b8609d3c995f6cbfddcc","2026-04-08T20:19:44.117000","2026-04-08T20:19:44.117000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","44","80","2026-04-08T20:19:05.905Z","pronta_entrega","","","[{""quantity"":8,""unit_price"":10,""product_name"":""Coelho"",""subtotal"":80,""product_id"":""69bd7d552d0bbd8fcb3c3c96"",""cost_price"":5.5}]","36","cartao","concluida","69d6b83a9f42fe6a46e4c35c","2026-04-08T20:19:06.160000","2026-04-08T20:19:06.160000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","11","20","2026-04-08T20:18:53.526Z","pronta_entrega","","","[{""quantity"":2,""unit_price"":10,""product_name"":""Coelho"",""subtotal"":20,""product_id"":""69bd7d552d0bbd8fcb3c3c96"",""cost_price"":5.5}]","9","cartao","concluida","69d6b82dc31cbe95f5441730","2026-04-08T20:18:53.713000","2026-04-08T20:18:53.713000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","63.66","74.9","2026-04-08T20:17:14.224Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":74.9,""product_name"":""Hidratante 400ml morango e leite "",""subtotal"":74.9,""product_id"":""69664f3b4ddcb1490663e55b"",""cost_price"":63.66}]","11.240000000000009","cartao","concluida","69d6b7ce695e0ad9681fb9be","2026-04-08T20:17:18.123000","2026-04-08T20:17:18.123000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","73.86","86.9","2026-04-08T20:16:43.683Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":86.9,""product_name"":""Hidratante quinoa  Nativa SPA 400ml"",""subtotal"":86.9,""product_id"":""6966502e6026417356070984"",""cost_price"":73.86}]","13.040000000000006","cartao","concluida","69d6b7ab5997a9a8b47db40c","2026-04-08T20:16:43.951000","2026-04-08T20:16:43.951000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","42.42","49.9","2026-04-08T20:16:02.429Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":49.9,""product_name"":""Body spray egeo "",""subtotal"":49.9,""product_id"":""69665a94889bd74c30e6cd60"",""cost_price"":42.42}]","7.479999999999997","cartao","concluida","69d6b782d16acb391f2896b3","2026-04-08T20:16:02.608000","2026-04-08T20:16:02.608000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","29.66","49.9","2026-04-08T20:15:39.773Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":49.9,""product_name"":""Body spray malbec bleu "",""subtotal"":49.9,""product_id"":""6967e9b261e4b9e3490c56a8"",""cost_price"":29.66}]","20.24","cartao","concluida","69d6b76c37ac51ff434ce467","2026-04-08T20:15:40.038000","2026-04-08T20:15:40.038000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","40.72","59.9","2026-04-08T20:14:33.879Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":59.9,""product_name"":""Creme pré e pós barba men "",""subtotal"":59.9,""product_id"":""69b2fa4eaad53a866cf60e6f"",""cost_price"":40.72}]","19.18","cartao","concluida","69d6b72a75c599170568a78a","2026-04-08T20:14:34.080000","2026-04-08T20:14:34.080000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","104.46","144.9","2026-04-08T20:14:11.083Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":144.9,""product_name"":""Creme acetinado da liily"",""subtotal"":144.9,""product_id"":""69b2f78df817e6874fd7176b"",""cost_price"":104.46}]","40.44000000000001","pix","concluida","69d6b713a30c1a3628f7ad93","2026-04-08T20:14:11.307000","2026-04-08T20:14:11.307000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","16.07","45.9","2026-04-08T20:13:44.378Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":45.9,""product_name"":""Shampoo 200ml"",""subtotal"":45.9,""product_id"":""69ceb231faa607e00e441fcf"",""cost_price"":16.07}]","29.83","dinheiro","concluida","69d6b6f85ccdebf6fe73217c","2026-04-08T20:13:44.547000","2026-04-08T20:13:44.547000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","28.82","42.9","2026-04-08T20:13:21.424Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":42.9,""product_name"":""Hidratante men "",""subtotal"":42.9,""product_id"":""69b2f8e9107f76200734621e"",""cost_price"":28.82}]","14.079999999999998","cartao","concluida","69d6b6e1e44e1a2cd39cb144","2026-04-08T20:13:21.596000","2026-04-08T20:13:21.596000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","59.92","114.9","2026-04-08T20:11:49.620Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":114.9,""product_name"":""Colônia eudora h energy "",""subtotal"":114.9,""product_id"":""6964f6298168817274cc0d70"",""cost_price"":59.92}]","54.980000000000004","cartao","concluida","69d6b6850d26929687cd5446","2026-04-08T20:11:49.826000","2026-04-08T20:11:49.826000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","71.18","144.9","2026-04-08T20:11:11.478Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":144.9,""product_name"":""Colônia Diva fabulosa "",""subtotal"":144.9,""product_id"":""6964efbac32f548882dd1a7d"",""cost_price"":71.18}]","73.72","cartao","concluida","69d6b65f546449df8f3ba471","2026-04-08T20:11:11.683000","2026-04-08T20:11:11.683000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","71.564","140","2026-04-08T20:10:13.196Z","pronta_entrega","","","[{""quantity"":2,""unit_price"":70,""product_name"":""Cesta geleia "",""subtotal"":140,""product_id"":""6982383f03b89d032d7dde5f"",""cost_price"":35.782}]","68.436","cartao","concluida","69d6b625ed1cbcb9f5f51515","2026-04-08T20:10:13.394000","2026-04-08T20:10:13.394000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","27.68","44","2026-04-08T20:09:57.038Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":44,""product_name"":""Condicionador siage men hidratação "",""subtotal"":44,""product_id"":""6964e5a10b2d8252f4316321"",""cost_price"":27.68}]","16.32","cartao","concluida","69d6b6152415c4b9243c53ce","2026-04-08T20:09:57.216000","2026-04-08T20:09:57.216000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","54.8155","103.8","2026-04-08T20:08:53.765Z","pronta_entrega","","","[{""quantity"":2,""unit_price"":32.9,""product_name"":""Kit com mini licor "",""subtotal"":65.8,""product_id"":""6978c77a893610ad940a117f"",""cost_price"":18.069499999999998},{""quantity"":2,""unit_price"":19,""product_name"":""5 bombons com coração de acetato"",""subtotal"":38,""product_id"":""6978bb6c7e1b5a65181130f9"",""cost_price"":9.33825}]","48.9845","cartao","concluida","69d6b5d68b8eff8537ea66cf","2026-04-08T20:08:54.101000","2026-04-08T20:08:54.101000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","22.42","42","2026-04-08T20:02:14.568Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":42,""product_name"":""Shampoo siage men estimula o crescimento"",""subtotal"":42,""product_id"":""6964e47b3439a3076070f941"",""cost_price"":22.42}]","19.58","cartao","concluida","69d6b4466ac650a380c1889f","2026-04-08T20:02:14.761000","2026-04-08T20:02:14.761000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","20.11","34.9","2026-03-23T14:11:15.271Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":34.9,""product_name"":""Sabonetes natura "",""subtotal"":34.9,""product_id"":""69a6ec3a30942cfba0bd3d7f"",""cost_price"":20.11}]","14.79","cartao","concluida","69c14a03138e942a088e9b85","2026-03-23T14:11:15.465000","2026-03-23T14:11:15.465000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","13.99","28","2026-03-23T14:10:42.334Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":28,""product_name"":""Mousse de limpeza anti oleosidade "",""subtotal"":28,""product_id"":""69a5cc78b8f99695dd823379"",""cost_price"":13.99}]","14.01","pix","concluida","69c149e2650b87b6fc016244","2026-03-23T14:10:42.553000","2026-03-23T14:10:42.553000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","35.63","50.9","2026-03-23T14:10:23.908Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":50.9,""product_name"":""Sabonete líquido camomila "",""subtotal"":50.9,""product_id"":""69a6e686f8a497ec4f844736"",""cost_price"":35.63}]","15.269999999999996","pix","concluida","69c149d0fa659079810c224d","2026-03-23T14:10:24.107000","2026-03-23T14:10:24.107000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","40","62","2026-03-09T14:01:50.776Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":35,""product_name"":""Esfoliante blumen"",""subtotal"":35,""product_id"":""69a9c37fbd235d6a3d72dd79"",""cost_price"":24},{""quantity"":1,""unit_price"":27,""product_name"":""Geleia de banho blumem"",""subtotal"":27,""product_id"":""698098262defc18877125755"",""cost_price"":16}]","22","dinheiro","concluida","69aed2ce4bb1d01a0b4186a2","2026-03-09T14:01:50.979000","2026-03-09T14:01:50.979000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","78.68","139.9","2026-03-09T14:01:29.364Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":139.9,""product_name"":""Perfume magnífc violet"",""subtotal"":139.9,""product_id"":""6964f03ffa6b2461473afae7"",""cost_price"":78.68}]","61.22","cartao","concluida","69aed2b952ca985b8a9ffb57","2026-03-09T14:01:29.552000","2026-03-09T14:01:29.552000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","28.242333333333335","50","2026-03-09T13:59:37.634Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":50,""product_name"":""Sacola com geleia e ducha "",""subtotal"":50,""product_id"":""698252c9fc972c99db05201b"",""cost_price"":28.242333333333335}]","21.757666666666665","cartao","concluida","69aed2494bb1d01a0b41864e","2026-03-09T13:59:37.931000","2026-03-09T13:59:37.931000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","28.576666666666668","47","2026-03-09T13:59:04.451Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":47,""product_name"":""Kit creme de mão "",""subtotal"":47,""product_id"":""6989e559d105eac2208b8aa3"",""cost_price"":28.576666666666668}]","18.423333333333332","dinheiro","concluida","69aed22823d1f6d09f713652","2026-03-09T13:59:04.683000","2026-03-09T13:59:04.683000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","23.022666666666666","50","2026-03-09T13:57:59.307Z","pronta_entrega","Eduardo","69aed1adf91a4ff75a05e9e0","[{""quantity"":1,""unit_price"":50,""product_name"":""Porta joia e sabonete "",""subtotal"":50,""product_id"":""69848d85a0c74cb6c1ac39a9"",""cost_price"":23.022666666666666}]","26.977333333333334","cartao","concluida","69aed1e7b30c3ee5f59eda14","2026-03-09T13:57:59.540000","2026-03-09T13:57:59.540000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","31.36","36.9","2026-03-09T13:45:18.347Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":36.9,""product_name"":""Sabonete 4 unidades morango e leite "",""subtotal"":36.9,""product_id"":""69664850042689fbceeeabc0"",""cost_price"":31.36}]","5.539999999999999","cartao","concluida","69aeceeeb3ce777c873f68e2","2026-03-09T13:45:18.563000","2026-03-09T13:45:18.563000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","63.66","74.9","2026-03-09T13:45:02.608Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":74.9,""product_name"":""Hidratante 400ml morango e leite "",""subtotal"":74.9,""product_id"":""69664f3b4ddcb1490663e55b"",""cost_price"":63.66}]","11.240000000000009","cartao","concluida","69aecede86b53c6ca7e6d65d","2026-03-09T13:45:02.821000","2026-03-09T13:45:02.821000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","0","18","2026-03-09T13:43:04.500Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":18,""product_name"":""Lucia"",""subtotal"":18,""product_id"":""69aece608def212f61d8c046"",""cost_price"":0}]","18","cartao","concluida","69aece685edf85e6fd02b574","2026-03-09T13:43:04.712000","2026-03-09T13:43:04.712000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","1.96","4","2026-03-09T13:42:25.759Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":4,""product_name"":""Mini sabonete "",""subtotal"":4,""product_id"":""69809aa1583fc1dc59593161"",""cost_price"":1.96}]","2.04","cartao","concluida","69aece4231bc3391fefe25db","2026-03-09T13:42:26.018000","2026-03-09T13:42:26.018000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","9","15","2026-03-09T13:42:14.815Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":15,""product_name"":""Sabonete massageador "",""subtotal"":15,""product_id"":""69809882cd75c350ba729562"",""cost_price"":9}]","6","cartao","concluida","69aece378e1d0012e4b852d7","2026-03-09T13:42:15.034000","2026-03-09T13:42:15.034000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","24","35","2026-03-09T13:41:51.938Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":35,""product_name"":""Esfoliante blumen"",""subtotal"":35,""product_id"":""69a9c37fbd235d6a3d72dd79"",""cost_price"":24}]","11","cartao","concluida","69aece200ce588ca9ee4f0f1","2026-03-09T13:41:52.151000","2026-03-09T13:41:52.151000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","0","11","2026-03-09T13:39:18.905Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":11,""product_name"":""Aline"",""subtotal"":11,""product_id"":""69aecd8029aea679b1e07ab6"",""cost_price"":0}]","11","dinheiro","concluida","69aecd87ef72f27eaab3ee02","2026-03-09T13:39:19.111000","2026-03-09T13:39:19.111000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","0","27","2026-03-09T13:38:52.013Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":27,""product_name"":""Dia e"",""subtotal"":27,""product_id"":""69aecd625339cfb2e1996df3"",""cost_price"":0}]","27","dinheiro","concluida","69aecd6c9073383fe60cfe00","2026-03-09T13:38:52.247000","2026-03-09T13:38:52.247000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","69.8","99.8","2026-03-09T13:38:03.221Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":99.8,""product_name"":""Eliane "",""subtotal"":99.8,""product_id"":""69aecd30d3a851c66ad18d02"",""cost_price"":69.8}]","30","dinheiro","concluida","69aecd3bb088ed0dc5673a2c","2026-03-09T13:38:03.737000","2026-03-09T13:38:03.737000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","3","10","2026-03-09T13:34:56.925Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":10,""product_name"":""Piranha "",""subtotal"":10,""product_id"":""69aecc7894f66df03adc5261"",""cost_price"":3}]","7","dinheiro","concluida","69aecc81a01746a38cb44800","2026-03-09T13:34:57.126000","2026-03-09T13:34:57.126000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","43","50","2026-03-09T13:33:56.095Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":50,""product_name"":""Hidratante Liz flora "",""subtotal"":50,""product_id"":""696651aed4baff9bf73aeefd"",""cost_price"":43}]","7","dinheiro","concluida","69aecc4461e07fbdb2c29c6d","2026-03-09T13:33:56.300000","2026-03-09T13:33:56.300000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","40.62179487179487","78","2026-03-09T13:27:05.460Z","pronta_entrega","","","[{""quantity"":2,""unit_price"":39,""product_name"":""Você é especial "",""subtotal"":78,""product_id"":""6980eefc8dac0e3e4d4a7c0d"",""cost_price"":20.310897435897434}]","37.37820512820513","dinheiro","concluida","69aecaa91875c10a972ee11f","2026-03-09T13:27:05.658000","2026-03-09T13:27:05.658000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","60.93269230769231","117","2026-03-09T13:25:52.703Z","pronta_entrega","Tayse perigo","69aeca2b675c4008eeff8104","[{""quantity"":3,""unit_price"":39,""product_name"":""Você é especial "",""subtotal"":117,""product_id"":""6980eefc8dac0e3e4d4a7c0d"",""cost_price"":20.310897435897434}]","56.06730769230769","dinheiro","concluida","69aeca60bdeae450ae523d55","2026-03-09T13:25:52.911000","2026-03-09T13:25:52.911000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","7.83","15","2026-03-09T13:25:23.630Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":15,""product_name"":""Disco de algodão "",""subtotal"":15,""product_id"":""696e330ab65be2b364162d5e"",""cost_price"":7.83}]","7.17","dinheiro","concluida","69aeca437a02f261682f839c","2026-03-09T13:25:23.871000","2026-03-09T13:25:23.871000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","0","25","2026-03-03T18:11:35.908Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":25,""product_name"":""Creme mão "",""subtotal"":25,""product_id"":""69a724503ce8d8287f1618fe"",""cost_price"":0}]","25","dinheiro","concluida","69a72458342b3e4fa998c6e2","2026-03-03T18:11:36.087000","2026-03-03T18:11:36.087000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","0","105","2026-03-03T18:10:57.371Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":105,""product_name"":""Presente "",""subtotal"":105,""product_id"":""69a72424bede1db1a1476cc7"",""cost_price"":0}]","105","dinheiro","concluida","69a724316641587f00ba6a74","2026-03-03T18:10:57.540000","2026-03-03T18:10:57.540000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"","25.5","30","2026-03-03T18:09:57.308Z","pronta_entrega","","","[{""quantity"":1,""unit_price"":30,""product_name"":""Body spray floratta blue "",""subtotal"":30,""product_id"":""69664c4fd81fa3bfb1ad97b6"",""cost_price"":25.5}]","4.5","dinheiro","concluida","69a723f550dd4facccc3d3e0","2026-03-03T18:09:57.523000","2026-03-03T18:09:57.523000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
