recurrence,amount,notes,description,category,payment_date,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"unico","536","","Blumen ","Outros","2026-04-29","pago","69f207d7f07967534c08788d","2026-04-29T13:29:59.805000","2026-04-29T13:29:59.805000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","550","","Despesas fixas ","Outros","2026-04-24","pago","69eba14cc56410d7d4f1cb85","2026-04-24T16:58:52.442000","2026-04-24T16:58:52.442000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","715","","Financiamento ","Outros","2026-04-24","pago","69eba122af423d64bff2017f","2026-04-24T16:58:10.248000","2026-04-24T16:58:10.248000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","425.88","","Cartão ","Outros","2026-04-06","pago","69d3a3361025cf1755b1678c","2026-04-06T12:12:38.404000","2026-04-06T12:12:38.404000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","520.69","","Boleto ","Outros","2026-04-06","pago","69d3a30f7ee83c525d71ef23","2026-04-06T12:11:59.474000","2026-04-06T12:11:59.474000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"mensal","109.9","","Net","Internet/Wi-Fi","2026-04-06","pago","69d3a2f61f89b89fde50a94e","2026-04-06T12:11:34.124000","2026-04-06T12:11:34.124000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","710.88","","Cartão pj","Outros","2026-04-01","pago","69cd1fc03b34c7b476c60974","2026-04-01T13:38:08.991000","2026-04-01T13:38:08.991000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","30.98","","Bom preço ","Outros","2026-03-12","pago","69b30d179701de2e4b509907","2026-03-12T18:59:35.958000","2026-03-16T19:01:35.790000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","715","","Empréstimo ","Outros","2026-03-09","pago","69af174f6adc7961feb149f4","2026-03-09T18:54:07.946000","2026-03-09T18:54:07.946000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","520.69","","Boticário ","Outros","2026-03-09","pago","69aefed34bf51e31db8f188c","2026-03-09T17:09:39.774000","2026-03-09T17:09:39.774000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","143","","Blumen ","Outros","2026-03-09","pago","69aebffdfd4657cb5860eff9","2026-03-09T12:41:33.678000","2026-03-09T12:41:33.678000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"anual","68.97","","Fatura cartão pessoal ","Outros","2026-03-07","pago","69ac1f2baa9ef592f63e3a2b","2026-03-07T12:50:51.030000","2026-03-07T12:50:51.030000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","211.47","","Fatura cartão loja ","Outros","2026-03-07","pago","69ac1ec7e4e28733e9080f3a","2026-03-07T12:49:11.505000","2026-03-07T12:50:29.038000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","109.9","","Net ","Internet/Wi-Fi","2026-03-06","pago","69ab31d11e40b4e8f56ba0d4","2026-03-06T19:58:09.740000","2026-03-06T19:58:09.740000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","353.2","","Blumen","Outros","2026-03-05","pago","69a98d49940e842052924f39","2026-03-05T14:03:53.473000","2026-03-05T14:03:53.473000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","22","","Patrocinado ","Marketing","2026-03-02","pago","69a5cd9ca810d6bd6f3a2b74","2026-03-02T17:49:16.766000","2026-03-02T17:49:16.766000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"unico","30.98","","Bom preço ","Outros","2026-02-20","pago","6998a5b1e900f4d962b2a626","2026-02-20T18:19:29.498000","2026-02-24T16:55:46.373000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","16.75","","Bom preço ","Outros","2026-02-20","pago","6998a57e1ad99ae2c8f29d1b","2026-02-20T18:18:38.402000","2026-02-24T16:55:38.879000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","14.5","","Limpa mais ","Outros","2026-02-18","pago","699613d386b407056989d0a2","2026-02-18T19:32:35.650000","2026-02-18T19:32:35.650000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","427.48","","Shopee","Outros","2026-02-18","pago","6996026be6d07c839701b004","2026-02-18T18:18:19.811000","2026-02-18T18:18:19.811000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"mensal","80","","Seguro carro","Outros","2026-02-18","pago","6995fa230e05dad68e953dc4","2026-02-18T17:42:59.620000","2026-02-18T17:42:59.620000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"mensal","77","","Mei","Outros","2026-02-18","pago","6995fa03009aa48314276efb","2026-02-18T17:42:27.700000","2026-02-24T16:55:32.762000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","200","","Energia ","Aluguel","2026-02-18","pago","6995f9f27c78ae3a6cee6c49","2026-02-18T17:42:10.599000","2026-02-18T17:42:32.224000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"mensal","58","","Água ","Água","2026-02-18","pago","6995f9dcb448c7544c015ca3","2026-02-18T17:41:48.164000","2026-02-18T17:41:48.164000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"mensal","130","","Seguro loja ","Outros","2026-02-18","pago","6995f9b4911f763d8a08b6a5","2026-02-18T17:41:08.102000","2026-02-18T17:41:08.102000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"mensal","109.9","","Internet ","Internet/Wi-Fi","2026-02-18","pago","6995f981d50e6ccaabd73557","2026-02-18T17:40:17.797000","2026-02-18T17:41:29.665000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","714.29","","Empréstimo ","Outros","2026-02-02","pago","6980a43974c950963cab8f5e","2026-02-02T13:18:49.229000","2026-02-02T13:18:49.229000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","559.85","","Boleto natura ","Outros","2026-02-02","pago","6980a41d06ab7c32ba8c02ea","2026-02-02T13:18:21.987000","2026-02-02T13:18:21.987000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","520.69","","Boticário e eudorav","Outros","2026-01-23","pago","6973a6cfd3ee94500cb774b5","2026-01-23T16:50:23.854000","2026-01-23T16:50:23.854000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","559.86",""," Natura ","Outros","2026-01-23","pago","6973a6a7e544e3306f994e27","2026-01-23T16:49:43.739000","2026-01-23T16:49:43.739000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","154.87","","Mercado, manas , supermercado ","Marketing","2026-01-23","pago","6973a409117b57f612cec0a8","2026-01-23T16:38:33.138000","2026-01-23T16:38:33.138000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","85.94","","Bom preço ","Outros","2026-01-22","pendente","69727815cef1e557cf688e57","2026-01-22T19:18:45.486000","2026-01-22T19:18:45.486000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","77","","Representante Juliano ","Outros","2026-01-21","pago","6970e40b91d90e20ad17676e","2026-01-21T14:34:51.081000","2026-01-21T14:34:51.081000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","170.96","","Blumen sabonetes artesanais ","Outros","2026-01-13","pago","6966348726100d35c044b9c2","2026-01-13T12:03:19.200000","2026-01-13T12:03:19.200000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"mensal","714.29","","Credisol","Outros","2026-01-12","pago","696534b59d43e05a8f2ce370","2026-01-12T17:51:49.703000","2026-01-12T17:51:49.703000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"mensal","77","","Mei","Outros","2026-01-12","pago","69653491c69a019fc47b53e8","2026-01-12T17:51:13.417000","2026-01-19T21:35:06.992000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","30","","Samae","Água","2026-01-12","pago","6965347ae25ac39e77e45cfa","2026-01-12T17:50:50.106000","2026-01-20T18:05:37.411000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"mensal","130","","Nice seguro","Outros","2026-01-12","pago","69653463092dedb9e3e89836","2026-01-12T17:50:27.962000","2026-01-20T18:05:47.879000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","54.95","","Ateky","Internet/Wi-Fi","2026-01-12","pago","69653440bd9915911941eb35","2026-01-12T17:49:52.872000","2026-01-20T18:16:13.440000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","100","","Energia ","Energia","2026-01-12","pago","6965340b16aac93ae9ea4a8f","2026-01-12T17:48:59.880000","2026-01-20T18:06:10.288000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","63.12","Razão social marissol durante parcelado em 3x","Doce festas ","Outros","2026-01-12","pago","696533ed95c60c4ff5f64575","2026-01-12T17:48:29.502000","2026-01-20T18:07:57.115000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","26.18","","Supermercado bistek","Outros","2026-01-12","pago","696533bc353345982031e91d","2026-01-12T17:47:40.845000","2026-01-14T18:37:34.969000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
"unico","86.35","","Limpa mais fácil ","Produtos de Limpeza","2026-01-12","pago","69653378e47bbb11d3697cac","2026-01-12T17:46:32.826000","2026-01-14T18:37:44.554000","6963b453afe3460d12b94a9a","marielemodolon24@gmail.com","false"
